kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Depok,Perdagangan,Mikro_Lv2,9304572,0.8609,5,2,3,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,1291743,0.1759,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,4030409,0.7845,4,2,2,1,0,0,1,0
Prambanan,Agribisnis,Mikro_Lv1,1028178,0.1174,3,1,2,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,568148,0.0151,2,1,1,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv1,2805413,0.5123,2,1,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv2,6046797,0.2094,6,3,3,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3113740,0.5808,1,0,1,1,1,0,2,1
Depok,Agribisnis,Mikro_Lv1,2237095,0.386,3,2,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,2370230,0.4156,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,2021101,0.338,3,2,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1269598,0.171,4,2,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1713475,0.2697,1,0,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4894539,0.9766,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,2735000,0.4967,4,2,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,1884250,0.3076,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4759622,0.9466,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,1181669,0.1515,4,2,2,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,2161909,0.3693,3,2,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1410681,0.2024,3,2,1,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,3945376,0.7656,3,2,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2972189,0.5494,4,2,2,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv1,4174515,0.8166,4,2,2,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,2600021,0.4667,3,2,1,1,1,0,2,1
Mlati,Perdagangan,Mikro_Lv1,1517026,0.226,1,0,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv3,19587994,0.6392,4,2,2,1,1,0,2,1
Minggir,Jasa,Mikro_Lv1,4272962,0.8384,4,2,2,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,4351424,0.8559,4,2,2,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv2,6105534,0.2211,3,1,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1992785,0.3317,1,1,0,1,1,0,2,1
Minggir,Jasa,Mikro_Lv1,948982,0.0998,3,2,1,1,1,0,2,1
Seyegan,Agribisnis,Mikro_Lv1,1525715,0.2279,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,1504646,0.2233,4,2,2,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv2,5222866,0.0446,1,1,0,0,0,0,0,0
Seyegan,Agribisnis,Mikro_Lv1,2991518,0.5537,1,1,0,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,4199391,0.8221,3,2,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,855612,0.079,2,1,1,1,0,0,1,0
Gamping,Perdagangan,Mikro_Lv1,3082115,0.5738,1,1,0,1,0,0,1,0
Pakem,Jasa,Mikro_Lv1,4193305,0.8207,3,2,1,1,1,0,2,1
Gamping,Perdagangan,Mikro_Lv1,3549851,0.6777,1,1,0,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,7055723,0.4111,5,2,3,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,4697571,0.9328,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,3140328,0.5867,4,2,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv2,5675510,0.1351,5,3,2,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,3764908,0.7255,3,1,2,0,0,0,0,0
Berbah,Agribisnis,Mikro_Lv1,1539458,0.231,4,2,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,1701193,0.2669,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4926219,0.9836,1,0,1,1,1,1,3,1
Sleman,Agribisnis,Mikro_Lv1,4165060,0.8145,2,1,1,0,0,0,0,0
Cangkringan,Jasa,Mikro_Lv1,4942987,0.9873,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3676083,0.7058,4,2,2,1,0,0,1,0
Depok,Agribisnis,Mikro_Lv1,4908224,0.9796,2,1,1,0,0,0,0,0
